image name;longitude;lattude;altitude
IMG_0221.tif;39.703122;32.969772;100.33
IMG_0222.tif;39.703017;32.969671;101.67
IMG_0223.tif;39.703066;32.969137;103.50
IMG_0224.tif;39.703347;32.968865;104.50
IMG_0225.tif;39.703637;32.968767;105.17
IMG_0226.tif;39.704013;32.968675;104.17
IMG_0227.tif;39.704510;32.968471;100.17
IMG_0228.tif;39.704833;32.968283;98.00
IMG_0229.tif;39.705188;32.968053;96.33
IMG_0230.tif;39.705461;32.967860;96.50
IMG_0231.tif;39.705671;32.967697;97.17
IMG_0232.tif;39.705924;32.967486;96.67
IMG_0233.tif;39.706182;32.967271;94.17
IMG_0234.tif;39.706398;32.967096;97.00
IMG_0235.tif;39.706782;32.966825;97.33
IMG_0236.tif;39.706986;32.966612;99.33
IMG_0237.tif;39.707085;32.966325;101.67
IMG_0238.tif;39.707035;32.966203;101.17
IMG_0239.tif;39.706802;32.966222;104.50
IMG_0240.tif;39.706710;32.966308;102.83
IMG_0241.tif;39.706593;32.966467;101.50
IMG_0242.tif;39.706540;32.966558;98.00
IMG_0243.tif;39.706475;32.966648;95.33
IMG_0244.tif;39.706407;32.966722;95.50
IMG_0245.tif;39.706298;32.966790;90.33
IMG_0246.tif;39.706102;32.966912;93.67
IMG_0247.tif;39.705997;32.967020;94.50
IMG_0248.tif;39.705915;32.967116;93.67
IMG_0249.tif;39.705770;32.967235;92.50
IMG_0250.tif;39.705623;32.967333;96.50
IMG_0251.tif;39.705502;32.967424;103.00
IMG_0252.tif;39.705366;32.967543;104.17
IMG_0253.tif;39.705283;32.967609;102.50
IMG_0254.tif;39.705199;32.967668;99.50
IMG_0255.tif;39.705107;32.967728;97.50
IMG_0256.tif;39.705038;32.967780;97.00
IMG_0257.tif;39.704904;32.967874;98.00
IMG_0258.tif;39.704837;32.967928;100.33
IMG_0259.tif;39.704765;32.968000;99.50
IMG_0260.tif;39.704687;32.968067;97.17
IMG_0261.tif;39.704613;32.968118;96.50
IMG_0262.tif;39.704482;32.968200;100.17
IMG_0263.tif;39.704333;32.968309;104.67
IMG_0264.tif;39.704234;32.968414;104.17
IMG_0265.tif;39.704149;32.968468;101.33
IMG_0266.tif;39.704012;32.968524;103.17
IMG_0267.tif;39.703905;32.968612;102.50
IMG_0268.tif;39.703848;32.968667;100.50
IMG_0269.tif;39.703708;32.968758;96.33
IMG_0270.tif;39.703624;32.968805;95.67
IMG_0271.tif;39.703556;32.968858;96.33
IMG_0272.tif;39.703453;32.968935;96.00
IMG_0273.tif;39.703359;32.969005;99.17
IMG_0274.tif;39.703239;32.969125;99.33
IMG_0275.tif;39.703145;32.969193;99.17
IMG_0276.tif;39.703027;32.969258;99.50
IMG_0277.tif;39.702943;32.969317;100.17
IMG_0278.tif;39.702843;32.969412;98.50
IMG_0279.tif;39.702699;32.969508;98.83
IMG_0280.tif;39.702588;32.969554;98.67
IMG_0281.tif;39.702483;32.969537;99.50
IMG_0282.tif;39.702425;32.969457;103.50
IMG_0283.tif;39.702445;32.969167;108.67
IMG_0284.tif;39.702553;32.968891;110.67
IMG_0285.tif;39.702807;32.968642;111.67
IMG_0286.tif;39.703012;32.968544;111.33
IMG_0287.tif;39.703307;32.968452;110.50
IMG_0288.tif;39.703671;32.968327;108.67
IMG_0289.tif;39.704079;32.968126;105.50
IMG_0290.tif;39.704271;32.968008;103.33
IMG_0291.tif;39.704697;32.967718;100.33
IMG_0292.tif;39.704874;32.967590;99.17
IMG_0293.tif;39.705269;32.967293;97.67
IMG_0294.tif;39.705542;32.967076;96.17
IMG_0295.tif;39.705704;32.966942;95.67
IMG_0296.tif;39.706093;32.966621;96.17
IMG_0297.tif;39.706402;32.966316;99.33
IMG_0298.tif;39.706486;32.966048;99.67
IMG_0299.tif;39.706435;32.965868;99.33
IMG_0300.tif;39.706209;32.965856;100.50
IMG_0301.tif;39.706109;32.965955;101.50
IMG_0302.tif;39.706029;32.966056;101.50
IMG_0303.tif;39.705929;32.966217;102.17
IMG_0304.tif;39.705849;32.966375;99.17
IMG_0305.tif;39.705723;32.966504;98.83
IMG_0306.tif;39.705631;32.966589;99.17
IMG_0307.tif;39.705559;32.966656;99.67
IMG_0308.tif;39.705468;32.966739;100.17
IMG_0309.tif;39.705391;32.966799;100.50
IMG_0310.tif;39.705271;32.966890;100.67
IMG_0311.tif;39.705126;32.967006;100.83
IMG_0312.tif;39.705005;32.967106;100.83
IMG_0313.tif;39.704926;32.967169;100.67
IMG_0314.tif;39.704828;32.967249;101.00
IMG_0315.tif;39.704743;32.967318;100.33
IMG_0316.tif;39.704638;32.967394;100.17
IMG_0317.tif;39.704536;32.967470;99.67
IMG_0318.tif;39.704407;32.967568;100.33
IMG_0319.tif;39.704264;32.967672;100.33
IMG_0320.tif;39.704160;32.967743;100.50
IMG_0321.tif;39.704081;32.967801;101.00
IMG_0322.tif;39.703925;32.967915;101.50
IMG_0323.tif;39.703839;32.967969;101.67
IMG_0324.tif;39.703709;32.968074;100.33
IMG_0325.tif;39.703624;32.968135;99.00
IMG_0326.tif;39.703530;32.968192;99.50
IMG_0327.tif;39.703427;32.968264;98.50
IMG_0328.tif;39.703303;32.968348;96.17
IMG_0329.tif;39.703113;32.968487;98.50
IMG_0330.tif;39.703032;32.968575;96.17
IMG_0331.tif;39.702936;32.968649;96.17
IMG_0332.tif;39.702825;32.968722;95.67
IMG_0333.tif;39.702662;32.968832;98.00
IMG_0334.tif;39.702550;32.968901;99.00
